Feature_ID,b_numbers,background_2,background_3,background_4,pex_1,TPII_1,LL37_2,PLEU_1,NT_6,pex_2,LL37_3,Ind_3,PXB_1,CAP18_1,HBD3_1,PR39_1,Ind_1,PGLA_1,NT_4,PGLA_2,NT_2,NT_3,PROA_3,Bac5_2,background_1,R8_1,R8_2,PROA_2,PROA_1,NT_1,AP_2,TPII_2,CAP18_2,background_5,Bac5_3,PR39_2,CP1_1,CP1_2,PXB_3
rpmH,b3703,7.185738938,2.152721341,0,21.81173019,16.65074375,15.81587674,17.60865921,6.600943188,14.14989971,29.40050204,11.36395911,5.212943041,17.79925349,9.89099718,6.267246004,0,5.173805739,6.311656531,12.51567646,8.320768349,9.313133445,1.341190877,67.81909982,5.540407896,5.960141269,6.369534547,15.77307143,13.10373774,16.14680034,39.99815345,26.12505287,27.85344198,0,30.54870402,15.67555718,7.798651088,6.356687464,4.62377532
ykgO,b4506,7.185738938,12.91632805,10.37171371,50.43962606,94.78115675,140.9050837,93.9128491,94.61351902,77.82444839,95.55163164,161.9364173,283.2365719,173.5427215,112.5100929,90.24834246,177.1166922,148.746915,96.2527621,112.6410881,123.1473716,94.46178208,118.0247972,218.200582,8.310611844,47.68113015,44.58674183,140.2050794,163.0687363,125.5862248,307.9857815,154.5732295,101.4661101,5.862259426,175.6550481,134.1131003,119.5793167,114.4203744,150.2726979
torD,b0998,7.176756765,4.047116121,15.11158688,273.907618,277.2156711,414.5844526,412.4241464,240.4393556,464.977496,507.3883517,66.76325975,504.7171452,502.6360858,274.8584479,256.8568102,72.27459442,363.2334991,256.2295865,408.8245715,390.6850363,308.5906767,370.6515108,96.31786503,9.113970988,111.5837781,46.40205917,336.0715753,466.6968993,322.5323367,210.5502797,359.6657799,201.0421652,16.53157158,315.8735996,210.7927009,765.4506021,1000.362501,496.5703505
hspQ,b0966,7.168791441,0.954508519,2.759267234,91.2723167,135.1634395,78.41473707,148.3446478,182.4392757,181.9463519,131.1754711,118.4103097,248.8606551,206.5105212,151.3042635,127.2723938,168.0238212,142.8043598,167.2142401,110.9880743,168.2365163,184.0536238,182.566445,81.71394821,13.51127775,84.56653272,136.5043331,267.3155335,166.5575721,175.0082971,179.123806,156.3806231,103.2116425,8.664345693,79.577933,153.6828997,150.4183222,161.5957908,228.5933449
dctR,b3507,7.155290892,4.001385996,8.26221262,5.4298269,6.80212913,4.199696083,3.636691073,4.089849922,11.271954,14.15002976,5.280709811,1.845637084,2.757040677,2.954725853,2.995531141,1.822906437,2.060753133,1.256982445,10.33937867,1.767575649,2.472978937,2.136812584,3.131906354,14.71181758,7.913181911,7.329163104,6.980549504,10.05195701,5.716757934,22.30405506,32.37341768,37.50885226,6.745462353,6.083852072,6.012407683,5.52220868,4.501157225,9.208366103
prfB,b2891,7.144873726,4.41905309,8.516318886,4.722318973,5.422825693,4.611710274,1.757127352,3.387563201,9.077051223,10.84461193,4.009440531,0.891750038,3.044822253,2.220749367,4.342021026,0.88076735,0.663791273,1.619551539,3.925146939,1.067541708,0.170694374,0.860363574,0.756616139,10.30697356,6.627199846,5.720410007,5.396428443,5.603964273,3.45268251,30.02045211,28.7696499,34.71451992,7.521188163,6.368946141,3.798838395,4.50249692,4.077765844,4.449174159
rpsK,b3297,7.144282752,18.67899748,9.749410892,15.77155875,55.56816258,21.83254593,17.68390989,41.36591064,30.69439783,39.86029604,387.2269066,19.47502054,31.10305449,15.64489458,43.95749928,215.4338872,16.8347679,23.38954257,19.60789312,40.31092236,31.26551942,32.48776979,31.44855582,13.01995855,25.85784366,11.5141586,34.21543188,26.31947323,39.56656117,97.61087831,125.1490513,43.15753099,9.184206435,52.46152441,28.33658414,62.02927096,88.09716857,48.47850586
yaeR,b0187,7.144282752,9.339498741,3.74977342,5.914334531,27.78408129,12.99556305,20.51333547,48.52539518,17.05244324,22.58750109,69.84464097,26.3855117,8.043893403,6.704954819,15.86095335,96.79633181,0.467632442,27.95335575,8.044263843,27.67615565,25.01241554,20.85035971,19.18894931,11.01688801,6.464460915,8.44371631,31.04733633,24.74030484,39.56656117,69.41218013,48.80025901,18.70159676,7.06477418,28.99189507,25.81777666,17.85691134,36.00492976,40.95597908
metQ,b0197,7.139507162,8.927462032,7.885552927,42.40056006,223.9751063,223.8485736,292.7727316,138.0131026,168.2988378,187.9686509,26.50894137,151.9291806,361.6400409,28.84116595,253.1921303,30.13023073,88.28281575,141.5075715,93.95448786,124.2241769,128.9702676,301.5066124,90.94762435,12.44554862,59.7328864,43.29097867,643.8222401,311.963168,128.3433174,264.0172231,92.54223691,195.6104514,8.10371156,102.933409,89.38525438,14.59857786,25.9954241,144.611973
malI,b1620,7.138602167,7.964441346,7.390224,6.911552258,7.020273213,4.531397497,1.876659825,5.427014516,7.432478904,8.812650485,6.617932453,1.666723285,2.2357177,2.202404984,2.919842307,0.376273399,0.708947142,2.810803309,2.858293457,1.368196312,2.005368593,2.021561759,0.606064969,10.24894697,4.900174455,5.527691303,4.08250213,2.593580744,1.720860807,21.64914632,31.32340523,28.89751103,6.158505772,3.139480515,4.773250324,4.452582618,4.064820555,5.702206882
manZ,b1819,7.135135143,7.837724883,6.179204086,7.670586452,7.418871472,5.7107263,8.094747483,26.58196723,10.92797419,33.75493379,2.820982806,5.463800629,22.09238329,8.593674487,9.749539734,1.817771489,4.70925628,21.41296151,5.523350174,40.20923409,32.58659771,2.219576452,23.17913967,10.54433263,17.75450533,8.432904893,6.960885985,13.49336374,31.76927187,38.06162313,32.42634203,29.30355831,5.174200808,18.32653327,13.83570305,11.61559652,15.07848048,26.78207888
sibE,b4611,7.135135143,10.68780666,2.059734695,2.707265807,0,0,1.942739396,6.554457672,14.05025253,1.824591016,2.820982806,0,1.472825553,3.683003352,1.244622094,0,0,1.566802061,4.142512631,0,3.963234856,2.663491742,1.463945664,13.75347735,7.890891258,8.432904893,3.480442992,5.782870175,7.125817989,41.70230012,69.17619633,57.29010275,1.940325303,3.791696538,5.188388645,2.58124367,0,2.295606761
ybcJ,b0528,7.135135143,2.850081775,6.865782318,99.26641291,102.5923941,55.20368757,255.1464407,189.3509994,162.3584736,98.52791486,250.1271422,240.4072277,237.6158558,459.1477512,184.2040699,228.1303219,118.1595212,137.8785814,138.0837544,203.8002276,188.4738354,200.6497112,83.93288472,3.667593959,55.2362388,68.86872329,250.5918954,202.4004561,197.147631,464.6827728,181.5875154,246.28159110000001,9.054851414,217.3906015,396.6234875,258.124367,270.7113239,186.7093499
hybG,b2990,7.120807562,3.65703264,4.698511273,44.77317507,108.0678021,40.7089927,68.69027166,73.51170867,97.48655803,67.63443806,74.00264936,102.3327935,113.3898227,65.11076608,12.06633628,115.0671254,124.5141803,80.41658773,66.9345749,87.63874326,68.55812693,85.82005721,106.8621541,6.274678822,37.1252173,109.4076275,103.2112091,51.94132187,99.56112764,62.28628112,80.13256678,55.20350851,8.852247166,38.92199338,42.41004159,48.57713991,55.19340682,107.3495788
rplJ,b3985,7.120807562,6.095054399,8.222394728,11.19329377,17.04425067,9.363068321,10.52512227,21.18133979,23.37006528,27.57404013,45.84946754,12.79159919,73.49340358,27.65457269,10.29187506,36.9303274,2.563527241,14.29628226,7.480923077,17.90468948,26.74520336,51.64392823,17.94950245,7.843348527,11.81256914,13.82623864,139.4343738,195.8105388,32.00179103,54.35893625,41.91549647,270.9478326,4.979389031,16.21749724,11.83536044,6.992164078,5.99928335,19.63711808
rplF,b3305,7.115092628,9.094642969,8.215795695,56.51290626,130.543558,55.42826669,72.84181308,135.9497625,82.19660841,72.29343954,150.0297972,83.50470931,88.51295437,36.56334913,88.03720173,272.2623415,81.28397611,97.91045841,53.24240641,119.9593019,124.7107797,134.9253092,208.2695732,6.583125112,51.40900877,82.41032619,161.5016796,133.4012851,121.2723481,122.5111981,158.0834777,320.4487085,8.771433112,80.66230837,90.59924092,167.4811436,140.9898995,129.4137564
rplT,b1716,7.095162397,6.801875834,6.55422581,5.384198103,8.093962057,7.95022681,13.90936105,13.03547604,13.04010365,18.14369218,24.68557503,4.11778694,4.686638173,3.906528298,5.94071722,4.880487318,2.55429485,8.101727186,1.098481407,5.258166217,6.305650976,2.64857022,11.6459543,5.470570821,5.492679209,4.192830864,13.84377885,20.126656,7.08589744,33.17493903,32.67461094,34.57438057,2.31534616,25.63909088,6.19118645,3.59349609,5.021248921,10.04408336
ydiL,b1689,7.095162397,11.05304823,12.28917339,344.0502588,154.7970243,165.251143,206.322189,194.6631089,223.544634,219.1758015,250.2219651,529.8219196,188.6371865,435.0895892,138.6167351,203.8959146,261.0489337,223.7323123,231.7795769,200.467587,215.9685459,255.8518832,97.2437184,2.188228329,68.26615588,80.50235259,213.1941943,133.4109769,243.7548719,294.6250538,271.7151857,63.6482915,5.402474373,108.5890908,230.4497179,113.9651617,174.0699626,245.6234932
yjbR,b4057,7.095162397,9.352579272,11.46989517,250.9036316,85.49247423,223.174224,213.2768695,226.8172831,199.3272987,171.2764541,129.0382331,427.5635439,376.1027134,467.8067637,1069.3291,157.2601469,234.4842672,214.3841655,191.6850056,216.8993565,254.3279227,269.6244483,127.5231996,13.12936997,87.09819888,120.7535289,321.1756693,248.9954871,248.7150001,261.4501148,399.8340549,226.3050364,11.5767308,321.2427269,390.0447464,137.5795646,171.5593381,312.2796827
iraD,b4326,7.089746242,12.35760648,9.674987908,22.00945102,447.125756,63.96594701,130.5639515,127.8869757,71.91965564,92.2973776,561.626811,129.6736162,66.52074697,48.79432769,52.16645071,584.2262062,328.5564118,67.93462373,281.395718,68.66221821,100.2405966,137.6205173,100.5019186,8.945009694,17.10697036,22.85252853,232.0206767,101.8623888,77.88537193,73.18746092,573.3219299,82.08716136,9.815182449,50.691027,58.11523363,196.7919156,288.1213074,155.1082492
ygiW,b3024,7.089746242,8.495854453,11.16344759,88.526903,93.74476283,58.80740289,77.21524011,123.150421,104.0719723,131.8533966,120.2757962,117.8284301,68.1172449,7.98452635,108.3802985,117.7319252,67.28909563,97.93908255,56.8778579,107.4712981,126.01675,12.99214674,89.92276926,6.957229762,44.19300676,73.88984224,15.09077572,49.62526632,130.0235135,113.368812,98.417661,68.5249347,11.21735137,57.54116578,108.7317274,176.2733273,169.5278405,145.9842345
spoT,b3650,7.086078974,8.347536808,9.153074237,88.04197848,10.53265671,42.68016498,79.39899455,134.0126052,62.90968924,140.7867924,34.56874331,135.2250772,90.43945015,107.5399724,269.2526561,59.75762163,74.36885774,113.8275383,94.18110824,160.8808132,113.2318812,127.0582805,80.43163202,9.260283467,12.6183171,7.523238765,74.63726658,65.70508609,117.3073849,216.8719225,83.25579911,143.387776,10.19015792,57.69707221,163.9553773,24.50529197,23.94081011,103.2489687
yrdF,b4697,7.085239093,6.367840051,2.045330956,1.344166939,6.31456393,4.253093363,3.858307612,0,9.301332675,10.87098983,0,3.426689831,2.925052146,4.876330778,7.415510656,0,0,3.111690807,4.113544011,1.640878793,0,2.644865926,5.814833126,5.462919673,9.79463775,8.37393353,1.7280521150000001,0,7.075987094,17.74743242,40.78614023,35.31070717,1.926756595,0,0,5.12638603,2.089260915,2.279553567
